"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
105,4,"AGE WEIGHT ADIPOSITY ABDOMEN",0.718525008537437,0.713853224446772,0.702827707414599,12.6059623030682,1398.07030298803,699.847501893115,1419.10229220362,4115.32339008971,17.0680972857202,0.293154451689225,0.0697003972823235
184,5,"HEIGHT ADIPOSITY CHEST ABDOMEN WRIST",0.719340099694534,0.71349301843817,0.694497433103234,13.8860527991299,1399.35690637057,701.14772968428,1423.8942271221,4120.57536090368,17.1576688594076,0.294692895320739,0.0700801377999315
106,4,"AGE WEIGHT HEIGHT ABDOMEN",0.718030816337594,0.713350829886765,0.701749024078578,13.0424455826887,1398.50183220673,700.261609635942,1419.53382142232,4122.5487592376,17.0980641417487,0.293669149789477,0.0698227718935951
107,4,"AGE WEIGHT CHEST ABDOMEN",0.717917243475354,0.713235371997767,0.702787845901851,13.1427560598715,1398.60089728389,700.356677924214,1419.63288649948,4124.20925864476,17.104950979729,0.293787435218615,0.0698508954351484
108,4,"WEIGHT HEIGHT CHEST ABDOMEN",0.717915313802059,0.713233410296699,0.697467713810106,13.1444603970276,1398.6025801163,700.358292871053,1419.6345693319,4124.23747155847,17.1050679913731,0.293789444961341,0.0698513732715437
185,5,"AGE WEIGHT ADIPOSITY CHEST ABDOMEN",0.718640773115881,0.712779122555796,0.696622804203328,14.5037160456825,1399.96910769545,701.730244355842,1424.50642844698,4130.84269109971,17.2004210083539,0.295427188228325,0.0702547580536471
109,4,"HEIGHT ADIPOSITY NECK ABDOMEN",0.717421448778166,0.712731348342949,0.700389776482431,13.5806547064213,1399.03289262402,700.771255795832,1420.06488183962,4131.45805720913,17.1350150080868,0.294303802309876,0.0699736668656932
186,5,"AGE WEIGHT HEIGHT CHEST ABDOMEN",0.71805750040568,0.712183698330799,0.695302255305652,15.0188775264636,1400.47855096979,702.215021650152,1425.01587172132,4139.40614870704,17.2360784001134,0.296039624574036,0.0704003999207659
187,5,"AGE HEIGHT CHEST ABDOMEN WRIST",0.717979816742803,0.712104396258278,0.698589854439671,15.0874897383853,1400.54632205384,702.27951401168,1425.08364280536,4140.54667995803,17.2408274596049,0.296121192420057,0.0704197973544332
188,5,"AGE HEIGHT ADIPOSITY NECK ABDOMEN",0.717529742478433,0.711644945446734,0.698427727130335,15.4850069210663,1400.93859899778,702.652824769779,1425.4759197493,4147.15455276892,17.2683419894034,0.296593770397645,0.0705321798730362
189,5,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN",0.717462760402197,0.711576567910577,0.694538050608647,15.5441672160295,1400.99692597898,702.708333438467,1425.5342467305,4148.1379661196,17.2724368254748,0.296664101577693,0.070548905144896
110,4,"AGE HEIGHT ABDOMEN WRIST",0.715938259874346,0.711223542195912,0.69948097630925,14.8906453482026,1400.32071246031,702.007262803838,1421.3527016759,4153.14311688742,17.2249527051162,0.295848534321739,0.0703409423216896
190,5,"HEIGHT NECK CHEST ABDOMEN WRIST",0.716298341507971,0.710387890289387,0.695560882873723,16.5726119749012,1402.00868074441,703.671272577433,1426.54600149594,4165.2336602323,17.3436216074085,0.297886741416631,0.0708396578903913
111,4,"AGE NECK ABDOMEN WRIST",0.714974508814115,0.710243795267462,0.699317890477141,15.7418551075649,1401.15391684242,702.807033010073,1422.18590605801,4167.23370184413,17.283392699269,0.296852275052519,0.0705795917002021
112,4,"HEIGHT NECK ABDOMEN WRIST",0.714924831493837,0.710193293427345,0.697872964552265,15.7857313963541,1401.19678864273,702.848186358467,1422.22877785832,4167.96001233102,17.2864050355728,0.296904013672394,0.0705918930735544
